Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date
2023-10-03,0,0.05164674046330779,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-04,1,0.051854613612621094,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-05,2,0.05223854723674028,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-06,3,0.05276981545171491,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-07,4,0.053446510617812984,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-08,5,0.054287936433027185,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-09,6,0.055305556234664266,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-10,7,0.056442964267135416,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-11,8,0.0575388860346892,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-12,9,0.05849731931574258,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Sowing,2023-10-03,2024-07-30
2023-10-13,10,0.059575974494255855,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-14,11,0.061228769291870655,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-15,12,0.06358426096900055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-16,13,0.06638562932173142,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-17,14,0.0693538614197349,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-18,15,0.07236216592764672,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-19,16,0.07537875005584875,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-20,17,0.07839892468099412,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-21,18,0.08142225908278061,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-22,19,0.08444881180672718,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-23,20,0.087478642375504,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-24,21,0.09051181130088971,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-25,22,0.09354838009568815,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-26,23,0.09658841128559428,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-27,24,0.09963196842099853,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-28,25,0.1026791160887184,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-29,26,0.10572991992364539,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-30,27,0.1087844466202951,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-10-31,28,0.11184276394424753,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-01,29,0.11490494074346443,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-02,30,0.11797104695946936,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-03,31,0.12104115363837652,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-04,32,0.12411533294175223,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-05,33,0.12719365815729466,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-06,34,0.13027620370931392,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-07,35,0.13336304516899677,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-08,36,0.13645425926443727,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-09,37,0.13954992389041568,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-10,38,0.142650118117906,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-11,39,0.14575693741956136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-12,40,0.1488896055281975,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-13,41,0.15217483775957544,0.0,1.0,0.0031069110851077763,0.0,1.0,0.31069110851077764,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-14,42,0.15610198538446354,0.0,1.0,0.008717121977805069,0.0,1.0,0.8717121977805069,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-15,43,0.16167018956036128,0.0,1.0,0.016671699371944692,0.0,1.0,1.6671699371944693,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-16,44,0.16952155234653576,0.0,1.0,0.02788793192362253,0.0,1.0,2.788793192362253,0.0,100.0,Emergence,2023-10-03,2024-07-30
2023-11-17,45,0.17845335016512703,0.0,1.0,0.04064764309303863,0.0,1.0,4.064764309303863,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-18,46,0.18604117847650908,0.0,1.0,0.05148739782358441,0.0,1.0,5.148739782358441,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-19,47,0.19117157962652323,0.0,1.0,0.05881654232360463,0.0,1.0,5.881654232360463,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-20,48,0.1945875180865396,0.0,1.0,0.0636964544093423,0.0,1.0,6.36964544093423,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-21,49,0.1973461189120459,0.0,1.0,0.06763731273149415,0.0,1.0,6.763731273149415,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-22,50,0.19995665753898018,0.0,1.0,0.07136665362711454,0.0,1.0,7.1366653627114545,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-23,51,0.20255012531852473,0.0,1.0,0.07507160759789248,0.0,1.0,7.507160759789248,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-24,52,0.20514633085409759,0.0,1.0,0.07878047264871085,0.0,1.0,7.8780472648710855,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-25,53,0.20774742155159753,0.0,1.0,0.0824963165022822,0.0,1.0,8.24963165022822,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-26,54,0.21035347980795485,0.00326666666666664,1.0,0.08621925686850694,0.0,1.0,8.621925686850695,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-27,55,0.21296458908191773,0.008333333333333304,1.0,0.0899494129741682,0.0,1.0,8.994941297416819,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-28,56,0.21558083389445698,0.013399999999999967,1.0,0.09368690556350999,0.0,1.0,9.368690556350998,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-29,57,0.21820229982851697,0.01846666666666663,1.0,0.09743185689788139,0.0,1.0,9.74318568978814,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-11-30,58,0.22082907352808354,0.023533333333333295,1.0,0.10118439075440507,0.0,1.0,10.118439075440506,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-01,59,0.2234612426965383,0.02859999999999996,1.0,0.10494463242362616,0.0,1.0,10.494463242362615,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-02,60,0.22609889609426786,0.03366666666666662,1.0,0.10871270870609696,0.0,1.0,10.871270870609697,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-03,61,0.22874212353549644,0.038733333333333286,1.0,0.11248874790785209,0.0,1.0,11.248874790785209,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-04,62,0.2313910158843089,0.04379999999999995,1.0,0.11627287983472703,0.0,1.0,11.627287983472703,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-05,63,0.2340456650498305,0.048866666666666614,1.0,0.12006523578547214,0.0,1.0,12.006523578547213,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-06,64,0.23670616398052996,0.05393333333333328,1.0,0.12386594854361424,0.0,1.0,12.386594854361425,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-07,65,0.2393726066576102,0.05899999999999994,1.0,0.1276751523680146,0.0,1.0,12.76751523680146,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-08,66,0.24204508808745165,0.0640666666666666,1.0,0.1314929829820738,0.0,1.0,13.149298298207379,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-09,67,0.24472370429307133,0.06913333333333327,1.0,0.13531957756153049,0.0,1.0,13.531957756153048,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-10,68,0.24740855230456163,0.07419999999999999,1.0,0.13915507472080235,0.0,1.0,13.915507472080236,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-11,69,0.2500997301484703,0.07926666666666665,1.0,0.14299961449781476,0.0,1.0,14.299961449781476,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-12,70,0.2527973368360837,0.08433333333333332,1.0,0.1468533383372624,0.0,1.0,14.685333833726242,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-13,71,0.2555014723505751,0.08939999999999998,1.0,0.15071638907225013,0.0,1.0,15.071638907225013,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-14,72,0.25821223763297774,0.09446666666666664,1.0,0.15458891090425392,0.0,1.0,15.458891090425391,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-15,73,0.26092973456694296,0.09953333333333331,1.0,0.1584710493813471,0.0,1.0,15.84710493813471,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-16,74,0.2636540659622434,0.10459999999999997,1.0,0.16236295137463344,0.0,1.0,16.236295137463344,0.0,100.0,Tillering,2023-10-03,2024-07-30
2023-12-17,75,0.2663853355369799,0.10966666666666663,1.0,0.16626476505282844,0.0,1.0,16.626476505282845,0.0,100.0,Tillering,2023-10-03,2024-07-30
